fileList,sizeType,sizeVal,annotations
data/data_C4/images_C4/10_endocv2021_positive_1006.jpg,"[0, 0, 0, 1]","[0, 0, 0, 126769]",1
data/data_C4/images_C4/10_endocv2021_positive_1087.jpg,"[0, 0, 1, 0]","[0, 0, 30031, 0]",1
data/data_C4/images_C4/10_endocv2021_positive_499.jpg,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
data/data_C4/images_C4/10_endocv2021_positive_584.jpg,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
data/data_C4/images_C4/10_endocv2021_positive_895.jpg,"[0, 1, 0, 0]","[0, 6196, 0, 0]",1
data/data_C4/images_C4/10_endocv2021_positive_950.jpg,"[0, 0, 1, 0]","[0, 0, 17054, 0]",1
data/data_C4/images_C4/11_endocv2021_positive_1228.jpg,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
data/data_C4/images_C4/11_endocv2021_positive_1344.jpg,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
data/data_C4/images_C4/11_endocv2021_positive_146.jpg,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
data/data_C4/images_C4/11_endocv2021_positive_1475.jpg,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
data/data_C4/images_C4/11_endocv2021_positive_61.jpg,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
data/data_C4/images_C4/11_endocv2021_positive_625.jpg,"[0, 0, 0, 1]","[0, 0, 0, 46593]",1
data/data_C4/images_C4/11_endocv2021_positive_843.jpg,"[0, 0, 0, 1]","[0, 0, 0, 267657]",1
data/data_C4/images_C4/11_endocv2021_positive_861.jpg,"[0, 0, 0, 1]","[0, 0, 0, 64288]",1
data/data_C4/images_C4/11_endocv2021_positive_900.jpg,"[0, 0, 0, 1]","[0, 0, 0, 40105]",1
data/data_C4/images_C4/11_endocv2021_positive_948.jpg,"[0, 0, 1, 0]","[0, 0, 30980, 0]",1
data/data_C4/images_C4/11_endocv2021_positive_968.jpg,"[0, 0, 1, 0]","[0, 0, 31984, 0]",1
data/data_C4/images_C4/11_endocv2021_positive_976.jpg,"[0, 0, 1, 0]","[0, 0, 32694, 0]",1
data/data_C4/images_C4/12_endocv2021_positive_148.jpg,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
