fileList,sizeType,sizeVal,annotations
data/data_C3/images_C3/C3_EndoCV2021_001.jpg,"[0, 0, 0, 1]","[0, 0, 0, 186784]",1
data/data_C3/images_C3/C3_EndoCV2021_0010.jpg,"[0, 0, 0, 1]","[0, 0, 0, 188436]",1
data/data_C3/images_C3/C3_EndoCV2021_00100.jpg,"[0, 0, 0, 1]","[0, 0, 0, 339508]",1
data/data_C3/images_C3/C3_EndoCV2021_00101.jpg,"[0, 0, 0, 1]","[0, 0, 0, 200723]",1
data/data_C3/images_C3/C3_EndoCV2021_00102.jpg,"[0, 0, 0, 1]","[0, 0, 0, 69953]",1
data/data_C3/images_C3/C3_EndoCV2021_00103.jpg,"[0, 0, 0, 1]","[0, 0, 0, 91992]",1
data/data_C3/images_C3/C3_EndoCV2021_00104.jpg,"[0, 0, 1, 0]","[0, 0, 22828, 0]",1
data/data_C3/images_C3/C3_EndoCV2021_00105.jpg,"[0, 0, 0, 1]","[0, 0, 0, 44728]",1
data/data_C3/images_C3/C3_EndoCV2021_00106.jpg,"[0, 2, 1, 0]","[0, 8982, 21234, 0]",3
data/data_C3/images_C3/C3_EndoCV2021_00107.jpg,"[0, 0, 1, 0]","[0, 0, 39029, 0]",1
data/data_C3/images_C3/C3_EndoCV2021_00108.jpg,"[0, 0, 1, 0]","[0, 0, 34495, 0]",1
data/data_C3/images_C3/C3_EndoCV2021_00109.jpg,"[0, 0, 0, 1]","[0, 0, 0, 46298]",1
data/data_C3/images_C3/C3_EndoCV2021_0011.jpg,"[0, 0, 0, 1]","[0, 0, 0, 135857]",1
data/data_C3/images_C3/C3_EndoCV2021_00110.jpg,"[0, 0, 0, 1]","[0, 0, 0, 98857]",1
data/data_C3/images_C3/C3_EndoCV2021_00111.jpg,"[0, 0, 0, 1]","[0, 0, 0, 69786]",1
data/data_C3/images_C3/C3_EndoCV2021_00112.jpg,"[0, 0, 1, 0]","[0, 0, 25669, 0]",1
data/data_C3/images_C3/C3_EndoCV2021_00113.jpg,"[0, 0, 0, 1]","[0, 0, 0, 68937]",1
data/data_C3/images_C3/C3_EndoCV2021_00114.jpg,"[0, 0, 0, 1]","[0, 0, 0, 90497]",1
data/data_C3/images_C3/C3_EndoCV2021_00115.jpg,"[0, 0, 0, 1]","[0, 0, 0, 120149]",1
data/data_C3/images_C3/C3_EndoCV2021_00116.jpg,"[0, 0, 0, 1]","[0, 0, 0, 252505]",1
data/data_C3/images_C3/C3_EndoCV2021_00117.jpg,"[0, 0, 0, 1]","[0, 0, 0, 239555]",1
data/data_C3/images_C3/C3_EndoCV2021_00118.jpg,"[0, 0, 0, 1]","[0, 0, 0, 194458]",1
data/data_C3/images_C3/C3_EndoCV2021_00119.jpg,"[0, 0, 0, 1]","[0, 0, 0, 122407]",1
