fileList,sizeType,sizeVal,annotations
data/data_C1/images_C1/995OLCV1_100H0050.jpg,"[0, 0, 1, 0]","[0, 0, 31143, 0]",1
data/data_C1/images_C1/995OLCV1_100S0001.jpg,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
data/data_C1/images_C1/995OLCV1_100S0003.jpg,"[0, 0, 0, 1]","[0, 0, 0, 43338]",1
data/data_C1/images_C1/102OLCV1_100H0006.jpg,"[0, 0, 0, 1]","[0, 0, 0, 42072]",1
data/data_C1/images_C1/104OLCV1_100H0002.jpg,"[0, 0, 0, 1]","[0, 0, 0, 55382]",1
data/data_C1/images_C1/106OLCV1_100H0012.jpg,"[0, 0, 0, 1]","[0, 0, 0, 191140]",1
data/data_C1/images_C1/106OLCV1_100H0014.jpg,"[0, 0, 0, 1]","[0, 0, 0, 87389]",1
data/data_C1/images_C1/117OLCV1_100H0010.jpg,"[0, 0, 1, 0]","[0, 0, 23851, 0]",1
data/data_C1/images_C1/123OLCV1_100H0004.jpg,"[0, 0, 0, 1]","[0, 0, 0, 104412]",1
data/data_C1/images_C1/124OLCV1_100H0004.jpg,"[0, 0, 0, 1]","[0, 0, 0, 52180]",1
data/data_C1/images_C1/125OLCV1_100H0003.jpg,"[0, 1, 2, 0]","[0, 5307, 28107, 0]",3
data/data_C1/images_C1/127OLCV1_100H0001.jpg,"[0, 0, 0, 1]","[0, 0, 0, 45010]",1
data/data_C1/images_C1/130OLCV1_100H0002.jpg,"[0, 0, 1, 0]","[0, 0, 32650, 0]",1
data/data_C1/images_C1/133OLCV1_100H0006.jpg,"[0, 0, 0, 1]","[0, 0, 0, 173152]",1
data/data_C1/images_C1/133OLCV1_100H0013.jpg,"[0, 1, 0, 0]","[0, 8166, 0, 0]",1
data/data_C1/images_C1/134OLCV1_100H0010.jpg,"[0, 0, 1, 0]","[0, 0, 26129, 0]",1
data/data_C1/images_C1/136OLCV1_100S0005.jpg,"[0, 0, 1, 0]","[0, 0, 39180, 0]",1
data/data_C1/images_C1/143OLCV1_100H0018.jpg,"[0, 0, 1, 0]","[0, 0, 13196, 0]",1
data/data_C1/images_C1/144OLCV1_100H0022.jpg,"[0, 0, 1, 0]","[0, 0, 12794, 0]",1
data/data_C1/images_C1/144OLCV1_100H0024.jpg,"[0, 0, 0, 1]","[0, 0, 0, 46004]",1
data/data_C1/images_C1/148OLCV1_100H0004.jpg,"[0, 0, 1, 0]","[0, 0, 39378, 0]",1
data/data_C1/images_C1/150OLCV1_100H0016.jpg,"[0, 0, 0, 1]","[0, 0, 0, 338324]",1
data/data_C1/images_C1/153OLCV1_100H0010.jpg,"[0, 0, 1, 0]","[0, 0, 30241, 0]",1
data/data_C1/images_C1/155OLCV1_100H0010.jpg,"[0, 1, 3, 0]","[0, 4719, 11548, 0]",4
data/data_C1/images_C1/155OLCV1_100H0032.jpg,"[0, 0, 1, 0]","[0, 0, 32117, 0]",1
data/data_C1/images_C1/156OLCV1_100H0002.jpg,"[0, 0, 0, 1]","[0, 0, 0, 63836]",1
data/data_C1/images_C1/161OLCV1_100S0021.jpg,"[0, 0, 0, 1]","[0, 0, 0, 45156]",1
data/data_C1/images_C1/163OLCV1_100H0001.jpg,"[0, 0, 0, 1]","[0, 0, 0, 42272]",1
data/data_C1/images_C1/169OLCV1_100H0007.jpg,"[0, 5, 2, 1]","[0, 7694, 16686, 42932]",8
data/data_C1/images_C1/171OLCV1_100H0002.jpg,"[0, 0, 0, 1]","[0, 0, 0, 56419]",1
data/data_C1/images_C1/171OLCV1_100H0003.jpg,"[0, 0, 1, 0]","[0, 0, 34551, 0]",1
data/data_C1/images_C1/171OLCV1_100H0004.jpg,"[0, 0, 0, 1]","[0, 0, 0, 210102]",1
data/data_C1/images_C1/174OLCV1_100H0002.jpg,"[0, 0, 0, 1]","[0, 0, 0, 246540]",1
data/data_C1/images_C1/175OLCV1_100H0011.jpg,"[0, 0, 0, 1]","[0, 0, 0, 269211]",1
data/data_C1/images_C1/175OLCV1_100H0099.jpg,"[0, 0, 0, 1]","[0, 0, 0, 269558]",1
data/data_C1/images_C1/176OLCV1_100H0002.jpg,"[0, 0, 0, 1]","[0, 0, 0, 122220]",1
data/data_C1/images_C1/176OLCV1_100H0089.jpg,"[0, 0, 0, 1]","[0, 0, 0, 49543]",1
data/data_C1/images_C1/176OLCV1_100H0126.jpg,"[0, 0, 1, 0]","[0, 0, 16050, 0]",1
data/data_C1/images_C1/176OLCV1_100H0160.jpg,"[0, 0, 0, 1]","[0, 0, 0, 48258]",1
data/data_C1/images_C1/176OLCV1_100H0255.jpg,"[0, 0, 0, 2]","[0, 0, 0, 68341]",2
data/data_C1/images_C1/176OLCV1_100H0290.jpg,"[0, 0, 0, 1]","[0, 0, 0, 64614]",1
data/data_C1/images_C1/176OLCV1_100H0470.jpg,"[0, 0, 1, 0]","[0, 0, 34568, 0]",1
data/data_C1/images_C1/176OLCV1_100H0537.jpg,"[0, 0, 0, 1]","[0, 0, 0, 301243]",1
