fileList,sizeType,sizeVal,annotations
data/data_C5/images_C5/EndoCV2021_C5_50000003.jpg,"[0, 0, 1, 0]","[0, 0, 30464, 0]",1
data/data_C5/images_C5/EndoCV2021_C5_50000005.jpg,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
data/data_C5/images_C5/EndoCV2021_C5_50000006.jpg,"[0, 0, 1, 0]","[0, 0, 33863, 0]",1
data/data_C5/images_C5/EndoCV2021_C5_50000007.jpg,"[0, 0, 1, 0]","[0, 0, 18774, 0]",1
data/data_C5/images_C5/EndoCV2021_C5_50000008.jpg,"[0, 0, 0, 2]","[0, 0, 0, 88594]",2
data/data_C5/images_C5/EndoCV2021_C5_50000009.jpg,"[0, 0, 1, 0]","[0, 0, 18214, 0]",1
data/data_C5/images_C5/EndoCV2021_C5_50000010.jpg,"[0, 0, 1, 0]","[0, 0, 17615, 0]",1
data/data_C5/images_C5/EndoCV2021_C5_50000011.jpg,"[0, 1, 0, 0]","[0, 5860, 0, 0]",1
data/data_C5/images_C5/EndoCV2021_C5_50000014.jpg,"[0, 0, 0, 1]","[0, 0, 0, 231747]",1
data/data_C5/images_C5/EndoCV2021_C5_50000024.jpg,"[0, 0, 1, 1]","[0, 0, 38810, 58889]",2
data/data_C5/images_C5/EndoCV2021_C5_50000025.jpg,"[0, 0, 0, 1]","[0, 0, 0, 48620]",1
data/data_C5/images_C5/EndoCV2021_C5_50000026.jpg,"[0, 0, 0, 1]","[0, 0, 0, 48814]",1
data/data_C5/images_C5/EndoCV2021_C5_50000027.jpg,"[0, 0, 0, 1]","[0, 0, 0, 181312]",1
data/data_C5/images_C5/EndoCV2021_C5_50000028.jpg,"[0, 0, 0, 1]","[0, 0, 0, 65577]",1
data/data_C5/images_C5/EndoCV2021_C5_50000034.jpg,"[0, 0, 0, 1]","[0, 0, 0, 123297]",1
data/data_C5/images_C5/EndoCV2021_C5_50000036.jpg,"[0, 0, 0, 1]","[0, 0, 0, 112561]",1
data/data_C5/images_C5/EndoCV2021_C5_50000040.jpg,"[0, 0, 0, 1]","[0, 0, 0, 376949]",1
data/data_C5/images_C5/EndoCV2021_C5_50000048.jpg,"[0, 0, 0, 1]","[0, 0, 0, 104785]",1
data/data_C5/images_C5/EndoCV2021_C5_50000049.jpg,"[0, 0, 1, 0]","[0, 0, 36052, 0]",1
data/data_C5/images_C5/EndoCV2021_C5_50000054.jpg,"[0, 0, 0, 1]","[0, 0, 0, 49235]",1
data/data_C5/images_C5/EndoCV2021_C5_50000057.jpg,"[0, 1, 1, 0]","[0, 9467, 28541, 0]",2
data/data_C5/images_C5/EndoCV2021_C5_50000062.jpg,"[0, 0, 0, 1]","[0, 0, 0, 60206]",1
data/data_C5/images_C5/EndoCV2021_C5_50000065.jpg,"[0, 1, 0, 0]","[0, 4924, 0, 0]",1
data/data_C5/images_C5/EndoCV2021_C5_50000066.jpg,"[0, 1, 0, 0]","[0, 1846, 0, 0]",1
data/data_C5/images_C5/EndoCV2021_C5_50000070.jpg,"[0, 0, 0, 1]","[0, 0, 0, 342276]",1
data/data_C5/images_C5/EndoCV2021_C5_50000071.jpg,"[0, 0, 0, 1]","[0, 0, 0, 347201]",1
data/data_C5/images_C5/EndoCV2021_C5_50000072.jpg,"[0, 0, 0, 1]","[0, 0, 0, 353269]",1
data/data_C5/images_C5/EndoCV2021_C5_50000074.jpg,"[0, 0, 0, 1]","[0, 0, 0, 213198]",1
data/data_C5/images_C5/EndoCV2021_C5_50000077.jpg,"[0, 0, 0, 1]","[0, 0, 0, 228435]",1
data/data_C5/images_C5/EndoCV2021_C5_50000078.jpg,"[0, 0, 0, 1]","[0, 0, 0, 289216]",1
data/data_C5/images_C5/EndoCV2021_C5_50000079.jpg,"[0, 0, 0, 1]","[0, 0, 0, 312040]",1
data/data_C5/images_C5/EndoCV2021_C5_50000080.jpg,"[0, 0, 0, 1]","[0, 0, 0, 121652]",1
data/data_C5/images_C5/EndoCV2021_C5_50000081.jpg,"[0, 0, 0, 1]","[0, 0, 0, 201441]",1
data/data_C5/images_C5/EndoCV2021_C5_50000082.jpg,"[0, 0, 0, 1]","[0, 0, 0, 235083]",1
